t_center,scheme,c2,gamma,nu
2.22,exact,3.8748751106038304,0.17797650285960445,0.14985077397586727
2.22,fwd20,3.9861214465262127,0.7723288294314741,0.3098130149738139
2.22,ctr20,3.817744721575243,0.17185419783504668,0.1442540667112248
2.22,ctr50,3.55293027026155,0.28346975644225036,0.1868492754627111
2.24,exact,3.7884925542038985,0.10088035109084682,0.037975172478071674
2.24,fwd20,3.9777313873016884,0.7650508350733186,0.281704838898746
2.24,ctr20,3.7702079085385067,0.106047616049531,0.051681510898527974
2.24,ctr50,3.6560407866667433,0.10908137563871743,0.12935177906909665
2.2600000000000002,exact,3.825732541147681,0.11241165139138456,0.06648160078420984
2.2600000000000002,fwd20,3.900238476769016,0.7686307622518744,0.2788537016877974
2.2600000000000002,ctr20,3.759500705727169,0.10444353004819593,0.07403493949376364
2.2600000000000002,ctr50,3.476157530353597,0.09888963916710339,0.20954088370734023
2.2800000000000002,exact,3.940863774633529,-0.09306911806514123,-0.00032098985603881
2.2800000000000002,fwd20,3.877158617197246,0.7768904375656035,0.29629778081954417
2.2800000000000002,ctr20,3.8966433835128687,-0.07431466370303316,0.012720553330610798
2.2800000000000002,ctr50,3.685125448666531,-0.04030530942776098,0.06740030537594621
2.3000000000000003,exact,3.945913004170656,-0.047074644491642614,0.03264986341319376
2.3000000000000003,fwd20,3.8766783739894892,0.791030361806165,0.29937069523183485
2.3000000000000003,ctr20,3.897159076805771,-0.07563835332296827,0.043115043197212544
2.3000000000000003,ctr50,3.6872676970074427,-0.09938605581029963,0.05369736439889122
2.32,exact,3.3405094830655293,0.08124756306663564,0.3211544306739399
2.32,fwd20,3.840187899587435,0.7983597854007726,0.3040324954888086
2.32,ctr20,3.279856969000986,0.09431795065216311,0.3213944652204694
2.32,ctr50,3.7139564848066007,-0.09427733067760692,0.03758379768984474
2.34,exact,3.6977147926311744,0.018209975426962455,0.14887966416217752
2.34,fwd20,3.8540232010641375,0.78784226286355,0.27825963215937466
2.34,ctr20,3.7288177017173347,0.060473919841629996,0.1860339491917561
2.34,ctr50,3.455676141021917,-0.043483690480651954,-0.006261154954429873
2.36,exact,3.7970100428196942,-0.09455423696452955,0.019163553325046007
2.36,fwd20,3.865863873307804,0.7836220789634187,0.2656721219197773
2.36,ctr20,3.7577868238340892,-0.08017715126575173,0.022384592401334558
2.36,ctr50,3.5537375433678084,-0.0030160477291246383,0.06455505387532878
2.38,exact,3.9033476234249784,-0.04628334168923221,0.06017871143524409
2.38,fwd20,3.8393795069855186,0.7681765718012086,0.2429602560799652
2.38,ctr20,3.8596436709425337,-0.03259628584435687,0.057850861333082565
2.38,ctr50,3.625917863149547,0.04285855283164941,0.004986375854890063
2.4,exact,3.924672458542243,0.0011333298291217528,0.07565046371955571
2.4,fwd20,3.839513879630089,0.754014079402327,0.22028596238757106
2.4,ctr20,3.8781586880090027,0.024169451077355672,0.08281202691987391
2.4,ctr50,3.6900680303311857,-0.06758717239488721,0.05150489566655494
2.42,exact,4.016643178823436,0.16176284082371456,0.09016635138414181
2.42,fwd20,3.8506153357855135,0.7519893915445914,0.22318477547649793
2.42,ctr20,3.9728819959968096,0.14421226893657857,0.09217463235347173
2.42,ctr50,3.722706342092864,0.03505241561639394,0.047875298597609625
2.44,exact,3.946647075168963,0.21461221140037773,0.04986981252980772
2.44,fwd20,3.8614720514500065,0.7687294797506912,0.2187195379051377
2.44,ctr20,3.9337544127066124,0.1951717486203214,0.025900794651529134
2.44,ctr50,3.8791259020394424,0.46133219932994396,0.11108919656323168
2.46,exact,4.027445115975523,0.200175009018076,-0.09447209804130491
2.46,fwd20,3.870343991611943,0.8052434936590873,0.2211001889863816
2.46,ctr20,3.9756552495335584,0.17234505768016617,-0.08927079500753399
2.46,ctr50,3.724523538617884,0.15265704857933293,-0.142966742023511
2.48,exact,4.119459006820637,-0.26245045749139434,-0.18160613972589518
2.48,fwd20,3.8737797260540674,0.8543964616874191,0.2154369261066305
2.48,ctr20,4.045343919915261,-0.25830798201178434,-0.13537809772700907
2.48,ctr50,3.825722335112445,-0.20406383613209847,-0.11571540096185762
2.5,exact,4.491063212347971,-0.2238115317353801,-0.02525665992037074
2.5,fwd20,3.866415419922271,0.864364876973305,0.21302763656875032
2.5,ctr20,4.054817185736316,-0.16051506989159786,0.0452004354228811
2.5,ctr50,3.92271463204725,-0.08995660904331564,-0.058839677093065465
2.52,exact,4.071428845852606,-0.09445561923362773,-0.05779386582267665
